word;type
2-faced;negative
2-faces;negative
a+;posivitive
abnormal;negative
abolish;negative
abominable;negative
abominably;negative
abominate;negative
abomination;negative
abort;negative
aborted;negative
aborts;negative
abound;posivitive
abounds;posivitive
abrade;negative
abrasive;negative
abrupt;negative
abruptly;negative
abscond;negative
absence;negative
absentee;negative
absent-minded;negative
absurd;negative
absurdity;negative
absurdly;negative
absurdness;negative
abundance;posivitive
abundant;posivitive
abuse;negative
abused;negative
abuses;negative
abusive;negative
abysmal;negative
abysmally;negative
abyss;negative
accessable;posivitive
accessible;posivitive
accidental;negative
acclaim;posivitive
acclaimed;posivitive
acclamation;posivitive
accolade;posivitive
accolades;posivitive
accommodative;posivitive
accomodative;posivitive
accomplish;posivitive
accomplished;posivitive
accomplishment;posivitive
accomplishments;posivitive
accost;negative
accurate;posivitive
accurately;posivitive
accursed;negative
accusation;negative
accusations;negative
accuse;negative
accuses;negative
accusing;negative
accusingly;negative
acerbate;negative
acerbic;negative
acerbically;negative
ache;negative
ached;negative
aches;negative
achey;negative
achievable;posivitive
achievement;posivitive
achievements;posivitive
achievible;posivitive
aching;negative
acrid;negative
acridly;negative
acridness;negative
acrimonious;negative
acrimoniously;negative
acrimony;negative
acumen;posivitive
adamant;negative
adamantly;negative
adaptable;posivitive
adaptive;posivitive
addict;negative
addicted;negative
addicting;negative
addicts;negative
adequate;posivitive
adjustable;posivitive
admirable;posivitive
admirably;posivitive
admiration;posivitive
admire;posivitive
admirer;posivitive
admiring;posivitive
admiringly;posivitive
admonish;negative
admonisher;negative
admonishingly;negative
admonishment;negative
admonition;negative
adorable;posivitive
adore;posivitive
adored;posivitive
adorer;posivitive
adoring;posivitive
adoringly;posivitive
adroit;posivitive
adroitly;posivitive
adulate;posivitive
adulation;posivitive
adulatory;posivitive
adulterate;negative
adulterated;negative
adulteration;negative
adulterier;negative
advanced;posivitive
advantage;posivitive
advantageous;posivitive
advantageously;posivitive
advantages;posivitive
adventuresome;posivitive
adventurous;posivitive
adversarial;negative
adversary;negative
adverse;negative
adversity;negative
advocate;posivitive
advocated;posivitive
advocates;posivitive
affability;posivitive
affable;posivitive
affably;posivitive
affectation;posivitive
affection;posivitive
affectionate;posivitive
affinity;posivitive
affirm;posivitive
affirmation;posivitive
affirmative;posivitive
afflict;negative
affliction;negative
afflictive;negative
affluence;posivitive
affluent;posivitive
afford;posivitive
affordable;posivitive
affordably;posivitive
affront;negative
afordable;posivitive
afraid;negative
aggravate;negative
aggravating;negative
aggravation;negative
aggression;negative
aggressive;negative
aggressiveness;negative
aggressor;negative
aggrieve;negative
aggrieved;negative
aggrivation;negative
aghast;negative
agile;posivitive
agilely;posivitive
agility;posivitive
agonies;negative
agonize;negative
agonizing;negative
agonizingly;negative
agony;negative
agreeable;posivitive
agreeableness;posivitive
agreeably;posivitive
aground;negative
ail;negative
ailing;negative
ailment;negative
aimless;negative
alarm;negative
alarmed;negative
alarming;negative
alarmingly;negative
alienate;negative
alienated;negative
alienation;negative
all-around;posivitive
allegation;negative
allegations;negative
allege;negative
allergic;negative
allergies;negative
allergy;negative
alluring;posivitive
alluringly;posivitive
aloof;negative
altercation;negative
altruistic;posivitive
altruistically;posivitive
amaze;posivitive
amazed;posivitive
amazement;posivitive
amazes;posivitive
amazing;posivitive
amazingly;posivitive
ambiguity;negative
ambiguous;negative
ambitious;posivitive
ambitiously;posivitive
ambivalence;negative
ambivalent;negative
ambush;negative
ameliorate;posivitive
amenable;posivitive
amenity;posivitive
amiability;posivitive
amiabily;posivitive
amiable;posivitive
amicability;posivitive
amicable;posivitive
amicably;posivitive
amiss;negative
amity;posivitive
ample;posivitive
amply;posivitive
amputate;negative
amuse;posivitive
amusing;posivitive
amusingly;posivitive
anarchism;negative
anarchist;negative
anarchistic;negative
anarchy;negative
anemic;negative
angel;posivitive
angelic;posivitive
anger;negative
angrily;negative
angriness;negative
angry;negative
anguish;negative
animosity;negative
annihilate;negative
annihilation;negative
annoy;negative
annoyance;negative
annoyances;negative
annoyed;negative
annoying;negative
annoyingly;negative
annoys;negative
anomalous;negative
anomaly;negative
antagonism;negative
antagonist;negative
antagonistic;negative
antagonize;negative
anti-;negative
anti-american;negative
anti-israeli;negative
anti-occupation;negative
antipathy;negative
anti-proliferation;negative
antiquated;negative
anti-semites;negative
anti-social;negative
antithetical;negative
anti-us;negative
anti-white;negative
anxieties;negative
anxiety;negative
anxious;negative
anxiously;negative
anxiousness;negative
apathetic;negative
apathetically;negative
apathy;negative
apocalypse;negative
apocalyptic;negative
apologist;negative
apologists;negative
apotheosis;posivitive
appal;negative
appall;negative
appalled;negative
appalling;negative
appallingly;negative
appeal;posivitive
appealing;posivitive
applaud;posivitive
appreciable;posivitive
appreciate;posivitive
appreciated;posivitive
appreciates;posivitive
appreciative;posivitive
appreciatively;posivitive
apprehension;negative
apprehensions;negative
apprehensive;negative
apprehensively;negative
appropriate;posivitive
approval;posivitive
approve;posivitive
arbitrary;negative
arcane;negative
archaic;negative
ardent;posivitive
ardently;posivitive
ardor;posivitive
arduous;negative
arduously;negative
argumentative;negative
arrogance;negative
arrogant;negative
arrogantly;negative
articulate;posivitive
ashamed;negative
asinine;negative
asininely;negative
asinininity;negative
askance;negative
asperse;negative
aspersion;negative
aspersions;negative
aspiration;posivitive
aspirations;posivitive
aspire;posivitive
assail;negative
assassin;negative
assassinate;negative
assault;negative
assult;negative
assurance;posivitive
assurances;posivitive
assure;posivitive
assuredly;posivitive
assuring;posivitive
astonish;posivitive
astonished;posivitive
astonishing;posivitive
astonishingly;posivitive
astonishment;posivitive
astound;posivitive
astounded;posivitive
astounding;posivitive
astoundingly;posivitive
astray;negative
astutely;posivitive
asunder;negative
atrocious;negative
atrocities;negative
atrocity;negative
atrophy;negative
attack;negative
attacks;negative
attentive;posivitive
attraction;posivitive
attractive;posivitive
attractively;posivitive
attune;posivitive
audacious;negative
audaciously;negative
audaciousness;negative
audacity;negative
audible;posivitive
audibly;posivitive
audiciously;negative
auspicious;posivitive
austere;negative
authentic;posivitive
authoritarian;negative
authoritative;posivitive
autocrat;negative
autocratic;negative
autonomous;posivitive
available;posivitive
avalanche;negative
avarice;negative
avaricious;negative
avariciously;negative
avenge;negative
aver;posivitive
averse;negative
aversion;negative
avid;posivitive
avidly;posivitive
award;posivitive
awarded;posivitive
awards;posivitive
awe;posivitive
awed;posivitive
aweful;negative
awesome;posivitive
awesomely;posivitive
awesomeness;posivitive
awestruck;posivitive
awful;negative
awfully;negative
awfulness;negative
awkward;negative
awkwardness;negative
awsome;posivitive
ax;negative
babble;negative
backache;negative
backaches;negative
backaching;negative
backbite;negative
backbiting;negative
backbone;posivitive
back-logged;negative
backward;negative
backwardness;negative
backwood;negative
back-wood;negative
backwoods;negative
back-woods;negative
bad;negative
badly;negative
baffle;negative
baffled;negative
bafflement;negative
baffling;negative
bait;negative
balanced;posivitive
balk;negative
banal;negative
banalize;negative
bane;negative
banish;negative
banishment;negative
bankrupt;negative
barbarian;negative
barbaric;negative
barbarically;negative
barbarity;negative
barbarous;negative
barbarously;negative
bargain;posivitive
barren;negative
baseless;negative
bash;negative
bashed;negative
bashful;negative
bashing;negative
bastard;negative
bastards;negative
battered;negative
battering;negative
batty;negative
bearish;negative
beastly;negative
beauteous;posivitive
beautiful;posivitive
beautifullly;posivitive
beautifully;posivitive
beautify;posivitive
beauty;posivitive
beckon;posivitive
beckoned;posivitive
beckoning;posivitive
beckons;posivitive
bedlam;negative
bedlamite;negative
befoul;negative
beg;negative
beggar;negative
beggarly;negative
begging;negative
beguile;negative
belabor;negative
belated;negative
beleaguer;negative
belie;negative
believable;posivitive
believeable;posivitive
belittle;negative
belittled;negative
belittling;negative
bellicose;negative
belligerence;negative
belligerent;negative
belligerently;negative
beloved;posivitive
bemoan;negative
bemoaning;negative
bemused;negative
benefactor;posivitive
beneficent;posivitive
beneficial;posivitive
beneficially;posivitive
beneficiary;posivitive
benefit;posivitive
benefits;posivitive
benevolence;posivitive
benevolent;posivitive
benifits;posivitive
bent;negative
berate;negative
bereave;negative
bereavement;negative
bereft;negative
berserk;negative
beseech;negative
beset;negative
besiege;negative
besmirch;negative
best;posivitive
bestial;negative
best-known;posivitive
best-performing;posivitive
best-selling;posivitive
betray;negative
betrayal;negative
betrayals;negative
betrayer;negative
betraying;negative
betrays;negative
better;posivitive
better-known;posivitive
better-than-expected;posivitive
beutifully;posivitive
bewail;negative
beware;negative
bewilder;negative
bewildered;negative
bewildering;negative
bewilderingly;negative
bewilderment;negative
bewitch;negative
bias;negative
biased;negative
biases;negative
bicker;negative
bickering;negative
bid-rigging;negative
bigotries;negative
bigotry;negative
bitch;negative
bitchy;negative
biting;negative
bitingly;negative
bitter;negative
bitterly;negative
bitterness;negative
bizarre;negative
blab;negative
blabber;negative
blackmail;negative
blah;negative
blame;negative
blameless;posivitive
blameworthy;negative
bland;negative
blandish;negative
blaspheme;negative
blasphemous;negative
blasphemy;negative
blasted;negative
blatant;negative
blatantly;negative
blather;negative
bleak;negative
bleakly;negative
bleakness;negative
bleed;negative
bleeding;negative
bleeds;negative
blemish;negative
bless;posivitive
blessing;posivitive
blind;negative
blinding;negative
blindingly;negative
blindside;negative
bliss;posivitive
blissful;posivitive
blissfully;posivitive
blister;negative
blistering;negative
blithe;posivitive
bloated;negative
blockage;negative
blockbuster;posivitive
blockhead;negative
bloodshed;negative
bloodthirsty;negative
bloody;negative
bloom;posivitive
blossom;posivitive
blotchy;negative
blow;negative
blunder;negative
blundering;negative
blunders;negative
blunt;negative
blur;negative
bluring;negative
blurred;negative
blurring;negative
blurry;negative
blurs;negative
blurt;negative
boastful;negative
boggle;negative
bogus;negative
boil;negative
boiling;negative
boisterous;negative
bolster;posivitive
bomb;negative
bombard;negative
bombardment;negative
bombastic;negative
bondage;negative
bonkers;negative
bonny;posivitive
bonus;posivitive
bonuses;posivitive
boom;posivitive
booming;posivitive
boost;posivitive
bore;negative
bored;negative
